MAX TEMP   067105 19391201 20170228 missing_value=99999.9 RICHMOND RAAF                             
19391201    25.1
19391202    27.5
19391203    33.1
19391204    37.9
19391205    28.9
19391206    25.4
19391207    28.9
19391208    28.9
19391209    24.7
19391210    29.8
19391211    38.1
19391212    39.2
19391213    29.8
19391214    31.0
19391215    27.2
19391216    36.2
19391217    32.8
19391218    40.9
19391219    39.2
19391220    25.1
19391221    36.2
19391222    36.2
19391223    34.0
19391224    35.0
19391225    31.9
19391226    30.7
19391227    29.8
19391228    31.0
19391229    35.1
19391230    31.9
19391231    31.5
19400101    31.6
19400102    27.4
19400103    33.9
19400104    34.8
19400105    36.4
19400106    37.3
19400107    36.1
19400108    24.6
19400109    33.0
19400110    30.6
19400111    39.2
19400112    36.8
19400113    36.8
19400114    33.9
19400115    28.1
19400116    27.6
19400117    30.2
19400118    30.2
19400119    28.9
19400120    25.5
19400121    37.3
19400122    25.7
19400123    28.9
19400124    34.8
19400125    43.1
19400126    32.7
19400127    43.1
19400128    42.2
19400129    37.6
19400130    28.5
19400131    29.6
19400201    28.7
19400202    31.8
19400203    35.3
19400204    37.5
19400205    29.5
19400206    25.3
19400207    29.5
19400208    30.9
19400209    36.2
19400210    30.9
19400211    39.4
19400212    26.3
19400213    29.1
19400214    35.9
19400215    41.9
19400216    43.0
19400217    29.1
19400218    29.7
19400219    37.5
19400220    22.6
19400221    29.5
19400222    40.3
19400223    29.5
19400224    33.1
19400225    32.8
19400226    34.3
19400227    38.6
19400228    30.1
19400229    24.2
19400301    25.2
19400302    32.1
19400303    26.9
19400304    24.2
19400305    32.5
19400306    25.3
19400307    32.5
19400308    32.9
19400309    35.7
19400310    35.7
19400311    31.5
19400312    34.6
19400313    36.8
19400314    34.4
19400315    28.6
19400316    31.3
19400317    29.9
19400318    26.3
19400319    36.8
19400320    28.6
19400321    24.8
19400322    29.9
19400323    31.0
19400324    32.7
19400325    35.1
19400326    29.0
19400327    37.6
19400328    38.4
19400329    36.8
19400330    38.2
19400331    37.9
19400401    19.3
19400402    18.8
19400403    23.3
19400404    26.9
19400405    24.0
19400406    27.5
19400407    32.5
19400408    28.1
19400409    26.6
19400410    25.7
19400411    27.8
19400412    29.2
19400413    28.6
19400414    20.3
19400415    19.1
19400416    20.1
19400417    20.4
19400418    21.6
19400419    20.1
19400420    23.6
19400421    25.4
19400422    26.1
19400423    25.7
19400424    25.7
19400425    24.6
19400426    23.1
19400427    22.0
19400428    20.3
19400429    18.8
19400430    22.0
19400501    18.6
19400502    22.1
19400503    19.7
19400504    20.3
19400505    16.4
19400506 99999.9
19400507 99999.9
19400508 99999.9
19400509 99999.9
19400510 99999.9
19400511 99999.9
19400512 99999.9
19400513 99999.9
