MIN TEMP   014015 19100101 20170228 missing_value=99999.9 DARWIN AIRPORT                            
19100101    24.6
19100102    22.4
19100103    23.9
19100104    24.2
19100105    24.1
19100106    23.9
19100107    26.7
19100108    27.1
19100109    24.4
19100110    23.2
19100111    23.0
19100112    23.2
19100113    24.4
19100114    22.3
19100115    25.6
19100116    25.2
19100117    23.2
19100118    24.9
19100119    25.6
19100120    22.8
19100121    22.3
19100122    22.3
19100123    22.5
19100124    21.8
19100125    22.8
19100126    22.9
19100127    26.3
19100128    24.6
19100129    23.0
19100130    26.3
19100131    26.3
19100201    25.7
19100202    23.9
19100203    25.5
19100204    22.6
19100205    23.7
19100206    24.0
19100207    24.4
19100208    23.5
19100209    23.6
19100210    23.9
19100211    22.6
19100212    23.9
19100213    22.6
19100214    21.9
19100215    22.5
19100216    22.8
19100217    22.4
19100218    22.6
19100219    22.6
19100220    23.5
19100221    24.4
19100222    22.3
19100223    23.9
19100224    24.8
19100225    23.7
19100226    24.4
19100227    24.0
19100228    25.4
19100301    25.0
19100302    25.0
19100303    24.5
19100304    24.9
19100305    24.7
19100306    22.9
19100307    22.1
19100308    22.2
19100309    22.5
19100310    21.3
19100311    23.3
19100312    24.4
19100313    24.1
19100314    24.7
19100315    24.3
19100316    22.2
19100317    23.3
19100318    23.9
19100319    24.6
19100320    24.6
19100321    23.5
19100322    23.7
19100323    24.1
19100324    23.9
19100325    23.1
19100326    22.9
19100327    22.5
19100328    23.3
19100329    23.3
19100330    21.8
19100331    22.8
19100401    24.2
19100402    24.8
19100403    23.1
19100404    22.2
19100405    22.2
19100406    23.7
19100407    24.2
19100408    25.2
19100409    22.6
19100410    22.9
19100411    22.6
19100412    22.6
19100413    23.2
19100414    23.1
19100415    23.6
19100416    23.8
19100417    22.9
19100418    23.1
19100419    23.1
19100420    24.8
19100421    23.9
19100422    24.1
19100423    22.5
19100424    22.6
19100425    23.1
19100426    23.7
19100427    22.4
19100428    22.4
19100429    22.6
19100430    23.1
19100501    24.0
19100502    23.3
19100503    24.6
