MIN TEMP   015590 19100101 20170228 missing_value=99999.9 ALICE SPRINGS AIRPORT                     
19100101    20.9
19100102    20.9
19100103    22.5
19100104    24.8
19100105    23.2
19100106    24.8
19100107    24.2
19100108    24.6
19100109    20.9
19100110    20.9
19100111    20.9
19100112    20.9
19100113    20.5
19100114    13.1
19100115    13.3
19100116    16.5
19100117    17.9
19100118    18.6
19100119    23.8
19100120    24.8
19100121    20.9
19100122    20.5
19100123    19.2
19100124    18.6
19100125    17.9
19100126    20.9
19100127    22.5
19100128    24.6
19100129    24.8
19100130    23.8
19100131    23.2
19100201    22.9
19100202    22.9
19100203    21.0
19100204    22.9
19100205    22.4
19100206    15.1
19100207    23.1
19100208    15.1
19100209    13.7
19100210    15.1
19100211    23.1
19100212    22.9
19100213    22.9
19100214    21.0
19100215    18.4
19100216    22.9
19100217    22.4
19100218    20.3
19100219    21.5
19100220    22.4
19100221    22.9
19100222    22.4
19100223    20.0
19100224    22.4
19100225    22.4
19100226    23.1
19100227    23.1
19100228    23.1
19100301    21.7
19100302    17.4
19100303    17.4
19100304    20.5
19100305    15.1
19100306    17.4
19100307    16.9
19100308    11.0
19100309    13.6
19100310    14.9
19100311    10.7
19100312    14.9
19100313    16.3
19100314    14.7
19100315    15.1
19100316    12.4
19100317     9.8
19100318    17.8
19100319    21.7
19100320    21.3
19100321    17.4
19100322    15.1
19100323    21.7
19100324    17.8
19100325    15.1
19100326    16.9
19100327    12.4
19100328    11.0
19100329    11.9
19100330    14.9
19100331    12.4
19100401    10.0
19100402    10.0
19100403    14.5
19100404    10.5
19100405     7.0
19100406     9.5
19100407    10.5
19100408    14.6
19100409    14.6
19100410    14.5
19100411    14.6
19100412    15.4
19100413    14.5
19100414    15.4
19100415    14.5
19100416     9.5
19100417     9.4
19100418    10.0
19100419     7.0
19100420     6.8
19100421     6.8
19100422     6.4
19100423     8.2
19100424     9.4
19100425    10.0
19100426    14.0
19100427    14.0
19100428    14.5
19100429    14.5
19100430    14.0
19100501     8.5
19100502    10.5
19100503     8.6
19100504     7.0
19100505     7.0
19100506     6.7
19100507     6.9
19100508     6.7
19100509     7.6
19100510     6.7
19100511     6.7
19100512     7.1
19100513     7.0
19100514     6.7
19100515     7.0
19100516    12.0
19100517     8.5
19100518     9.2
19100519     8.5
19100520    12.0
19100521     8.1
19100522     6.9
19100523     8.5
19100524     8.5
19100525     9.2
19100526    12.0
19100527     7.0
19100528     8.1
19100529     6.7
19100530     6.7
19100531     1.4
19100601     2.3
19100602     2.3
19100603     2.3
19100604    -0.1
19100605    -4.0
19100606     0.1
19100607     5.0
19100608     4.0
19100609     2.3
19100610     7.7
19100611    10.5
19100612     2.3
19100613     0.1
19100614     2.2
19100615     9.6
19100616     7.7
19100617    10.3
19100618    13.0
19100619    12.2
19100620    10.2
19100621    10.2
19100622     8.3
19100623     4.0
19100624     2.3
19100625     2.3
19100626     4.9
19100627     9.6
19100628    13.7
19100629    10.6
19100630    11.1
19100701    14.6
19100702     7.2
19100703     3.7
19100704     4.1
19100705     5.5
19100706     2.1
19100707     0.2
19100708     0.2
19100709     3.7
19100710     6.9
19100711     3.2
19100712     6.9
19100713    14.6
19100714     6.9
19100715     5.5
19100716     3.2
19100717     2.4
19100718     0.3
19100719     2.8
19100720    -1.4
19100721     0.4
19100722     3.7
19100723     2.8
19100724     3.4
19100725     2.4
19100726     2.8
19100727     7.2
19100728     0.4
19100729     3.7
19100730     3.7
19100731     5.5
19100801     4.7
19100802     0.8
19100803    -1.2
19100804     0.6
19100805     0.2
19100806     0.7
19100807     0.6
19100808     0.7
19100809     2.7
19100810     1.2
19100811     7.7
19100812     5.7
19100813     2.9
19100814     2.7
19100815     4.1
19100816     7.7
19100817     9.2
19100818    10.6
19100819    13.9
19100820     6.9
19100821     7.7
19100822     9.1
19100823     5.8
19100824    16.9
19100825     9.1
19100826     9.1
19100827     7.7
19100828     4.1
19100829     5.7
19100830    15.4
19100831    18.2
19100901     8.1
19100902     9.7
19100903    14.0
19100904    13.1
19100905    13.9
19100906    13.1
19100907    13.1
19100908    13.9
19100909    21.1
19100910    13.9
19100911     9.3
19100912     7.6
19100913     7.6
19100914     0.7
19100915     3.8
19100916     9.2
19100917     9.9
19100918     7.6
19100919     8.1
19100920     5.8
19100921     6.0
19100922     7.5
19100923     6.1
19100924     9.4
19100925    10.1
19100926    13.1
19100927    14.1
19100928    12.7
19100929    10.1
19100930    13.1
19101001    20.3
19101002    16.8
19101003    13.4
19101004    17.4
19101005    13.6
19101006    11.1
19101007     7.9
19101008     7.7
19101009     7.0
19101010     9.8
19101011     7.0
19101012     4.1
19101013     5.2
19101014     6.8
19101015     7.7
19101016    10.8
19101017    19.8
19101018    20.7
19101019    16.8
19101020    13.4
19101021    13.6
19101022    14.8
19101023    12.2
19101024    20.2
19101025    20.3
19101026    17.4
19101027 99999.9
19101028    10.8
19101029    13.4
19101030    17.4
19101031    19.1
19101101    17.4
19101102    14.5
19101103    14.7
19101104    17.4
19101105    17.4
19101106    12.7
19101107    13.0
19101108    14.1
19101109    14.6
19101110    13.0
19101111    20.3
19101112    17.0
19101113    13.0
19101114    13.1
19101115    13.0
19101116    13.1
19101117    17.0
19101118    19.9
19101119    19.9
19101120    17.4
19101121    19.5
19101122    17.4
19101123    17.4
19101124    26.3
19101125    19.5
19101126    14.7
19101127    14.1
19101128    19.9
19101129    19.5
19101130    19.9
19101201    17.7
19101202    17.0
19101203    17.7
19101204    14.6
19101205    17.0
19101206    17.7
19101207    17.0
19101208    17.0
19101209    17.0
19101210    16.9
19101211    17.0
19101212    19.2
19101213    19.2
19101214    15.6
19101215    19.2
19101216    19.2
19101217    22.0
19101218    21.9
19101219    17.7
19101220    22.0
19101221    21.9
19101222    17.0
19101223    11.2
19101224    12.8
19101225    14.6
19101226    14.6
19101227    15.6
19101228    16.9
19101229    17.7
19101230    22.0
19101231    23.9
19110101    22.5
19110102    20.9
19110103    16.5
19110104    16.2
19110105    18.6
19110106    20.9
19110107    24.8
19110108    20.5
19110109    18.6
19110110    14.8
19110111    15.7
19110112    20.5
19110113    20.9
19110114    20.9
19110115    24.6
19110116    20.9
19110117    24.8
19110118    20.9
19110119    18.6
19110120    15.7
19110121    17.9
19110122    14.8
19110123    16.8
19110124    24.8
19110125    20.9
19110126    16.5
19110127    16.5
19110128    17.9
19110129    20.5
19110130    22.5
19110131    23.8
19110201    22.4
19110202    20.0
19110203    20.0
19110204    20.0
19110205    23.1
19110206    23.3
19110207    23.3
19110208    23.2
19110209    20.3
19110210    20.3
19110211    13.9
19110212    22.4
19110213    23.1
19110214    18.2
19110215    15.9
19110216    17.5
19110217    12.3
19110218    12.9
19110219    12.7
19110220    13.9
19110221    22.9
19110222    20.3
19110223    22.4
19110224    15.9
19110225    13.9
19110226    15.1
19110227    20.0
19110228    18.4
19110301    13.2
19110302    12.4
19110303     9.5
19110304    14.7
19110305    17.4
19110306    17.8
19110307    17.4
19110308    22.3
19110309    19.4
19110310    13.2
19110311    12.4
19110312    13.2
19110313    17.4
19110314    17.7
19110315    11.4
19110316     9.8
19110317    11.9
19110318    16.3
19110319    17.7
19110320    11.9
19110321     9.5
19110322    11.9
19110323    13.2
19110324     8.6
19110325    14.9
19110326    11.9
19110327    14.8
19110328    21.3
19110329    17.5
19110330    16.9
19110331    14.7
19110401     8.0
19110402     7.6
19110403    10.0
19110404     8.8
19110405     9.2
19110406    10.0
19110407     9.4
19110408    10.5
19110409    14.5
19110410    18.0
19110411    17.2
19110412    17.7
19110413    14.5
19110414    10.0
19110415    10.0
19110416    13.2
19110417     9.5
19110418     6.4
19110419     7.0
19110420     4.1
19110421     6.2
19110422     8.8
19110423     6.4
19110424    12.0
19110425     8.3
19110426     9.5
19110427     9.4
19110428     9.4
19110429    10.0
19110430     8.8
19110501     8.5
19110502    12.0
19110503    11.6
19110504     7.4
19110505     8.5
19110506 99999.9
19110507 99999.9
19110508     8.5
19110509     8.6
19110510     6.7
19110511     6.7
19110512     8.5
19110513     8.1
19110514     3.8
19110515     7.0
19110516     6.7
19110517     7.1
19110518     8.1
19110519     8.5
19110520     7.1
19110521     6.7
19110522     3.8
19110523     3.8
19110524     3.8
19110525     8.1
19110526    12.0
19110527     6.7
19110528     7.1
19110529     6.7
19110530    -1.4
19110531    -3.1
19110601    -3.4
19110602     2.2
19110603     2.2
19110604     2.3
19110605     2.3
19110606     7.5
19110607     7.8
19110608     1.6
19110609     4.9
19110610     7.7
19110611     7.5
19110612     4.9
19110613     4.9
19110614     2.3
19110615     7.5
19110616     4.7
19110617     2.3
19110618    12.6
19110619     2.8
19110620     2.3
19110621     7.8
19110622    -0.2
19110623    -6.0
19110624    -6.1
19110625    -4.9
19110626    -3.4
19110627     1.5
19110628    -0.2
19110629    -3.2
19110630    -2.4
19110701    -1.7
19110702    -1.5
19110703     0.1
19110704    -1.5
19110705     4.0
19110706     3.4
19110707     5.5
19110708    13.0
19110709     6.9
19110710    16.6
19110711    18.2
19110712     5.5
19110713     3.7
19110714     3.7
19110715     2.1
19110716     5.5
19110717     5.5
19110718     3.1
19110719     0.1
19110720     2.8
19110721     3.2
19110722     2.1
19110723    -1.7
19110724     0.4
19110725    -1.7
19110726     0.2
19110727     0.4
19110728     2.8
19110729     2.1
19110730     2.1
19110731     1.8
19110801     3.1
19110802     2.7
19110803     5.8
19110804     9.1
19110805     5.8
19110806     7.7
19110807     4.1
19110808     2.7
19110809     9.2
19110810    13.5
19110811     4.7
19110812     4.1
19110813     5.8
19110814     7.7
19110815    13.5
19110816     7.7
19110817     7.7
19110818     7.7
19110819     5.8
19110820     6.9
19110821     9.2
19110822     5.8
19110823     2.9
19110824     4.1
19110825     2.7
19110826     0.8
19110827     2.9
19110828    10.4
19110829     1.2
19110830     2.9
19110831    13.5
19110901    13.9
19110902     7.6
19110903     0.9
19110904     1.2
19110905     1.2
19110906     8.1
19110907     5.8
19110908     9.9
19110909     8.1
19110910     9.3
19110911     0.9
19110912     2.6
19110913     6.3
19110914     9.9
19110915    13.1
19110916     5.8
19110917    -0.2
19110918     8.1
19110919    10.1
19110920     7.6
19110921    13.9
19110922     8.1
19110923     9.4
19110924    14.1
19110925    14.1
19110926    13.1
19110927    13.1
19110928    13.1
19110929    13.1
19110930     8.1
19111001    10.8
19111002    14.0
19111003    14.8
19111004    13.4
19111005    10.5
19111006    17.4
19111007    16.8
19111008    13.4
19111009    10.8
19111010    12.2
19111011    13.4
19111012    16.8
19111013    21.4
19111014    25.5
19111015    20.0
19111016    17.4
19111017    18.9
19111018    10.5
19111019    14.8
19111020     9.8
19111021    14.8
19111022    14.8
19111023    20.7
19111024    20.0
19111025    17.4
19111026    17.5
19111027    13.6
19111028    12.2
19111029    10.4
19111030    22.3
19111031    10.8
19111101     7.4
19111102     5.8
19111103     5.7
19111104     7.7
19111105     8.9
19111106    13.1
19111107    19.5
19111108    19.9
19111109    19.9
19111110    22.1
19111111    28.0
19111112    22.4
19111113    17.0
19111114    14.1
19111115    14.4
19111116    26.3
19111117    20.4
19111118    26.0
19111119    20.4
19111120    19.9
19111121    20.4
19111122    20.4
19111123    21.0
19111124    20.3
19111125    17.4
19111126    19.9
19111127    17.4
19111128    19.9
19111129    21.0
19111130    20.4
19111201    21.9
19111202    22.0
19111203    22.2
19111204    19.2
19111205    12.2
19111206    14.9
19111207    22.0
19111208    26.0
19111209    21.9
19111210    22.2
19111211    22.0
19111212    21.9
19111213    21.9
19111214    19.2
19111215    19.2
19111216    17.0
19111217    17.7
19111218    16.9
19111219    19.2
19111220    19.2
19111221    21.9
19111222    22.2
19111223    17.7
19111224    19.2
19111225    26.0
19111226    21.9
19111227    19.2
19111228    21.9
19111229    19.2
19111230    26.0
19111231    19.2
19120101    18.6
19120102    14.8
19120103    13.8
19120104    13.8
19120105    20.5
19120106    20.9
19120107    16.8
19120108    15.7
19120109    16.2
19120110    20.9
19120111    16.5
19120112    16.0
19120113    14.8
19120114    16.8
19120115    24.8
19120116    23.8
19120117    22.5
19120118    17.9
19120119    11.1
19120120    14.8
19120121    16.5
19120122    20.5
19120123    25.5
19120124    23.2
19120125    17.9
19120126    19.2
19120127    20.9
19120128    24.8
19120129    20.9
19120130    20.9
19120131    20.5
19120201    20.3
19120202    21.5
19120203    23.1
19120204    24.3
19120205    24.3
19120206    23.4
19120207    26.0
19120208    23.2
19120209    24.3
19120210    22.9
19120211    17.5
19120212    17.5
19120213    20.7
19120214    18.4
19120215    23.3
19120216    22.4
19120217    22.4
19120218    18.4
19120219    19.4
19120220    20.0
19120221    18.2
19120222    19.4
19120223    19.4
19120224    22.9
19120225    22.4
19120226    20.3
19120227    20.3
19120228    20.0
19120229    20.0
19120301    21.3
19120302    19.4
19120303    16.9
19120304    17.8
19120305    21.7
19120306    22.0
19120307    22.6
19120308    22.0
19120309    17.7
19120310    16.9
19120311    21.3
19120312    13.2
19120313    11.9
19120314    17.7
19120315    13.6
19120316    14.8
19120317    14.7
19120318    15.1
19120319    16.9
19120320    14.9
19120321    16.3
19120322    15.1
19120323    17.7
19120324    14.9
19120325    17.5
19120326    21.3
19120327    22.0
19120328    22.6
19120329    21.7
19120330    16.9
19120331    14.7
19120401    12.0
19120402    14.5
19120403    14.5
19120404    16.6
19120405    19.1
19120406    21.0
19120407    13.2
19120408     9.4
19120409     6.4
19120410     6.2
19120411     6.2
19120412     6.2
19120413     3.7
19120414     6.8
19120415     9.2
19120416     8.3
19120417     9.4
19120418     9.4
19120419     9.4
19120420     8.3
19120421     9.5
19120422     9.4
19120423     6.2
19120424     6.2
19120425     3.2
19120426     3.3
19120427     2.4
19120428     3.4
19120429     6.2
19120430     6.8
19120501     7.1
19120502     6.7
19120503     6.7
19120504     6.7
19120505     6.7
19120506     6.7
19120507     6.7
19120508     6.7
19120509     7.0
19120510    11.6
19120511     8.5
19120512     6.7
19120513     6.7
19120514     6.7
19120515     6.7
19120516     2.9
19120517     6.7
19120518     8.1
19120519     7.0
19120520     8.5
19120521     8.5
19120522     6.7
19120523     1.9
19120524     1.4
19120525     0.7
19120526    -1.4
19120527     0.7
19120528     6.7
19120529     6.7
19120530     7.0
19120531     1.4
19120601     0.4
19120602     1.6
19120603     0.1
19120604    -0.2
19120605    -0.4
19120606    -0.4
19120607    -0.4
19120608     7.8
19120609    -0.1
19120610    -0.2
19120611    -0.2
19120612     2.3
19120613     7.5
19120614     0.1
19120615     1.9
19120616     2.3
19120617    -0.2
19120618    -0.2
19120619    -0.4
19120620     0.1
19120621     4.0
19120622     2.2
19120623     0.1
19120624     2.2
19120625     1.6
19120626     2.2
19120627     7.7
19120628     5.2
19120629    -0.2
19120630     0.1
19120701     3.4
19120702     0.3
19120703    -0.3
19120704     0.2
19120705     1.5
19120706     5.5
19120707     2.8
19120708     2.4
19120709     2.4
19120710     3.7
19120711     3.8
19120712     4.6
19120713     2.8
19120714     2.8
19120715     2.1
19120716     0.4
19120717     1.5
19120718     5.5
19120719     3.1
19120720     0.2
19120721     0.2
19120722     0.2
19120723     3.4
19120724     3.7
19120725     4.6
19120726     3.7
19120727     0.4
19120728     0.1
19120729     0.2
19120730     0.2
19120731     4.0
19120801     2.9
19120802     2.7
19120803     2.9
19120804     2.4
19120805     1.2
19120806     1.2
19120807     0.8
19120808     2.7
19120809     2.4
19120810     4.1
19120811     4.7
19120812     2.9
19120813     4.1
19120814    -1.2
19120815    -2.4
19120816     2.4
19120817     2.4
19120818     2.7
19120819     4.7
19120820     4.7
19120821     9.1
19120822     7.7
19120823     6.9
19120824     7.7
19120825    10.6
19120826    13.5
19120827    17.7
19120828     7.7
19120829     7.7
19120830    20.3
19120831    18.9
19120901     8.2
19120902    10.8
19120903     9.4
19120904    10.1
19120905    14.8
19120906     8.1
19120907    10.1
19120908     5.8
19120909     6.1
19120910    10.1
19120911    12.5
19120912    13.9
19120913    13.1
19120914     5.8
19120915     8.1
19120916    10.1
19120917     8.2
19120918    13.1
19120919     7.6
19120920     3.8
19120921     2.6
19120922     1.2
19120923     3.6
19120924     8.1
19120925    12.5
19120926    12.7
19120927     7.6
19120928     5.8
19120929    10.6
19120930    13.1
19121001    14.8
19121002    20.3
19121003    21.4
19121004    20.3
19121005     9.8
19121006     5.2
19121007    13.4
19121008    14.8
19121009    14.8
19121010     9.4
19121011     9.4
19121012    10.3
19121013    20.7
19121014    19.1
19121015    12.2
19121016     7.7
19121017    16.8
19121018    12.2
19121019    20.7
19121020    21.0
19121021    20.7
19121022    16.8
19121023    14.0
19121024     9.8
19121025     9.8
19121026    12.1
19121027    22.3
19121028    17.4
19121029    18.9
19121030    21.0
19121031    22.2
19121101    24.8
