MIN TEMP   040842 19490603 20171231 missing_value=99999.9 BRISBANE AERO                             
19490603    14.0
19490604     2.7
19490605    10.7
19490606     5.6
19490607     7.2
19490608     6.4
19490609    12.5
19490610    13.3
19490611    13.2
19490612     5.6
19490613     5.5
19490614    10.7
19490615    10.2
19490616    13.7
19490617    14.0
19490618     9.5
19490619    10.2
19490620    12.1
19490621     9.2
19490622     5.5
19490623     2.6
19490624     2.4
19490625     1.1
19490626     0.9
19490627     3.3
19490628     5.5
19490629     2.7
19490630     3.5
19490701     4.0
19490702     4.9
19490703     5.1
19490704     4.3
19490705     4.9
19490706     3.0
19490707     1.2
19490708     5.3
19490709     8.8
19490710     7.7
19490711     5.3
19490712     8.8
19490713     9.5
19490714    11.6
19490715    11.3
19490716    11.4
19490717    10.7
19490718    12.2
19490719     1.9
19490720    -0.9
19490721     4.9
19490722     2.0
19490723     2.8
19490724    10.7
19490725     8.0
19490726    10.7
19490727     8.7
19490728     3.0
19490729     2.9
19490730     2.9
19490731     3.2
19490801     2.9
19490802     2.9
19490803     3.0
19490804     6.2
19490805     4.3
19490806     9.3
19490807     6.2
19490808     8.6
19490809    12.3
19490810     9.2
19490811     8.6
19490812     8.3
19490813    11.9
19490814    10.6
19490815     7.6
19490816     9.2
19490817     5.3
19490818     4.7
19490819     5.6
19490820     6.2
19490821     5.6
19490822    12.3
19490823     9.3
19490824    11.5
19490825    11.1
19490826     3.9
19490827     1.6
19490828     4.2
19490829    10.8
19490830     9.9
19490831    11.1
19490901     7.8
19490902     5.8
19490903    11.1
19490904     9.2
19490905    11.7
19490906    13.8
19490907    12.9
19490908    15.9
19490909    16.9
19490910    17.4
19490911    15.7
19490912    12.0
19490913    11.6
19490914     7.9
19490915     7.8
19490916    14.4
19490917     7.4
19490918     4.9
19490919     8.2
19490920     8.8
19490921    10.0
19490922     9.3
19490923    10.5
19490924    11.6
19490925    12.0
19490926     5.9
19490927     8.2
19490928     8.8
19490929    14.4
19490930    11.6
19491001    14.6
19491002    12.4
19491003    12.9
19491004    14.6
19491005    16.7
19491006    17.7
19491007    14.6
19491008    15.6
19491009    14.4
19491010    17.7
19491011    17.9
19491012    17.7
19491013    19.6
19491014    18.6
19491015    20.5
19491016    19.4
19491017    12.9
19491018    14.7
19491019    15.6
19491020    14.6
19491021    15.8
19491022    16.5
19491023    18.7
19491024    17.3
19491025    16.2
19491026    16.1
19491027    19.0
19491028    18.3
19491029    18.7
19491030    20.2
19491031    20.2
19491101    19.5
19491102    14.2
19491103    13.5
19491104    16.3
19491105     9.6
19491106    11.4
19491107    15.5
19491108    17.7
19491109    14.3
19491110    12.3
19491111    13.5
19491112    15.0
19491113    18.2
19491114    17.9
19491115    19.4
19491116    16.3
19491117    16.9
19491118    18.3
19491119    20.0
19491120    20.0
19491121    22.1
19491122    20.9
19491123    21.5
19491124    21.6
19491125    19.7
19491126    20.0
19491127    20.0
19491128    20.1
19491129    19.7
19491130    17.6
19491201    16.2
19491202    16.8
19491203    15.1
19491204    13.9
19491205    14.2
19491206    18.7
19491207    19.3
19491208    22.1
19491209    20.4
19491210    17.6
19491211    14.8
19491212    16.3
19491213    18.8
19491214    20.4
19491215    17.6
19491216    16.8
19491217    16.3
19491218    16.8
19491219    19.2
19491220    18.9
19491221    20.4
19491222    16.4
19491223    16.7
19491224    16.7
19491225    16.7
19491226    21.1
19491227    19.6
19491228    20.4
19491229    23.2
19491230    23.2
19491231    21.5
19500101    22.3
19500102    19.3
19500103    23.1
19500104    22.5
19500105    22.4
19500106    20.8
19500107    19.9
19500108    22.3
19500109    20.3
19500110    24.6
19500111    21.3
19500112    16.7
19500113    20.3
19500114    21.0
19500115    19.2
19500116    20.8
19500117    22.4
19500118    20.8
19500119    22.7
19500120    19.9
19500121    17.7
19500122    19.9
19500123    20.3
19500124    20.3
19500125    20.0
19500126    22.7
19500127    20.8
19500128    20.8
19500129    15.8
19500130    16.1
19500131    16.3
19500201    17.3
19500202    20.4
19500203    21.3
19500204    20.1
19500205    19.3
19500206    19.3
19500207    25.2
19500208    23.8
19500209    22.7
19500210    21.8
19500211    20.1
19500212    20.5
19500213    19.3
19500214    19.3
19500215    19.5
19500216    19.8
19500217    20.1
19500218    19.5
19500219    19.5
19500220    19.5
19500221    16.5
19500222    19.5
19500223    18.3
19500224    18.4
19500225    20.5
19500226    21.8
19500227    22.4
19500228    21.3
19500301    21.8
19500302    21.5
19500303    20.7
19500304    18.9
19500305    19.9
19500306    21.0
19500307    21.5
19500308    18.0
19500309    20.0
19500310    20.7
19500311    20.8
19500312    21.1
19500313    20.7
19500314    17.3
19500315    18.2
19500316    18.2
19500317    20.0
19500318    17.3
19500319    18.9
19500320    17.3
19500321    19.2
19500322    20.8
19500323    21.9
19500324    21.8
19500325    22.1
19500326    21.9
19500327    21.7
19500328    21.1
19500329    21.3
19500330    21.1
19500331    20.0
19500401    20.1
19500402    20.0
19500403    20.1
19500404    20.3
19500405    21.8
19500406    20.4
19500407    22.2
19500408    23.2
19500409    21.5
19500410    18.4
19500411    18.4
19500412    14.3
19500413    15.1
19500414    15.7
19500415    15.7
19500416    16.7
19500417    15.1
19500418    16.1
19500419    14.3
19500420    13.9
19500421    15.1
19500422    15.1
19500423    14.3
19500424    11.5
19500425    12.2
19500426    14.1
19500427    12.3
19500428    14.9
19500429    16.1
19500430    16.7
19500501    15.5
19500502    16.8
19500503    16.8
19500504    15.5
19500505    15.5
19500506    15.2
19500507    11.4
19500508     7.5
19500509    10.6
19500510     8.2
19500511    12.3
19500512    10.0
19500513    11.5
19500514    11.5
19500515    11.1
