MIN TEMP   070351 19390301 20171231 missing_value=99999.9 CANBERRA AIRPORT                          
19390301    15.3
19390302    12.4
19390303    11.3
19390304    12.7
19390305 99999.9
19390306    15.3
19390307    11.7
19390308     9.0
19390309    13.1
19390310    13.1
19390311    12.4
19390312    14.7
19390313    16.9
19390314    10.1
19390315    10.0
19390316    15.5
19390317    15.2
19390318    15.1
19390319    14.7
19390320    14.6
19390321    13.3
19390322 99999.9
19390323     5.2
19390324     2.7
19390325    10.1
19390326    12.5
19390327     9.9
19390328     4.1
19390329     9.1
19390330     9.1
19390331     8.5
19390401    13.6
19390402    16.2
19390403    15.9
19390404    15.6
19390405    15.3
19390406    16.5
19390407    11.2
19390408    13.9
19390409    12.5
19390410     8.8
19390411    15.6
19390412    15.3
19390413    11.9
19390414    15.4
19390415     7.5
19390416     6.2
19390417     6.2
19390418     2.2
19390419     4.2
19390420     2.2
19390421     1.6
19390422     7.4
19390423     6.2
19390424    10.5
19390425     9.3
19390426     7.5
19390427     2.2
19390428     3.8
19390429     5.3
19390430     7.3
19390501     7.4
19390502     5.7
19390503     7.0
19390504     6.9
19390505     6.5
19390506     9.7
19390507     3.6
19390508     0.4
19390509     0.2
19390510     0.8
19390511     0.5
19390512     5.6
19390513     4.0
19390514     4.8
19390515     7.0
19390516     6.0
19390517     6.9
19390518    -2.5
19390519     1.4
19390520     1.6
19390521     5.7
19390522     1.9
19390523     1.6
19390524     0.2
19390525    -4.6
19390526    -1.1
19390527     0.3
19390528    -3.1
19390529    -3.4
19390530    -3.7
19390531     6.5
19390601     9.0
19390602     9.0
19390603     1.6
19390604     7.5
19390605     4.9
19390606     7.5
19390607     6.4
19390608     8.3
19390609    -2.1
19390610    -2.3
19390611    -2.4
19390612    -1.1
19390613     2.7
19390614     1.0
19390615     3.9
19390616    -0.1
19390617     7.5
19390618     1.6
19390619     0.1
19390620    -3.0
19390621     7.5
19390622     7.3
19390623     6.4
19390624     6.4
19390625     7.9
19390626     7.5
19390627     7.7
19390628    -1.1
19390629     7.6
19390630     7.5
19390701     5.1
19390702    -2.0
19390703    -4.7
19390704     0.3
19390705     2.0
19390706    -4.3
19390707    -4.3
19390708     0.3
19390709     2.0
19390710     2.4
19390711     5.1
19390712    -2.0
19390713    -2.0
19390714     3.6
19390715    -1.9
19390716     1.3
19390717    -2.7
19390718     4.7
19390719     0.3
19390720     2.7
19390721    -2.7
19390722    -4.3
19390723    -4.1
19390724    -2.0
19390725    -4.4
19390726    -2.3
19390727    -4.7
19390728    -2.0
19390729    -2.6
19390730    -2.0
19390731     2.7
19390801     6.6
19390802     8.3
19390803     6.9
19390804 99999.9
19390805     6.2
19390806     2.6
19390807     6.0
19390808     4.8
19390809     1.9
19390810    -4.0
19390811     0.3
19390812    -3.9
19390813    -4.0
19390814     4.7
19390815     7.2
19390816     2.2
19390817     0.2
19390818     6.2
19390819     4.1
19390820     4.9
19390821     0.3
19390822     4.1
19390823     3.0
19390824     4.6
19390825     4.1
19390826     6.9
19390827     6.2
19390828     6.8
19390829     4.6
19390830     3.0
19390831     1.9
19390901    -0.6
19390902     6.2
19390903     2.4
19390904     3.4
19390905     6.7
19390906    -2.9
19390907    -1.3
19390908    -0.8
19390909    -0.9
19390910    -0.9
19390911    -0.7
19390912    -7.0
19390913     2.8
19390914     5.0
19390915    -0.8
19390916    -0.8
19390917    -0.8
19390918     2.7
19390919     2.0
19390920     0.9
19390921    -3.7
19390922    -1.6
19390923    -4.0
19390924    -2.9
19390925    -0.9
19390926     6.5
19390927     7.7
19390928     7.8
19390929     7.4
19390930    -0.8
19391001     2.9
19391002     3.8
19391003     3.1
19391004    10.8
19391005     6.9
19391006     8.6
19391007     3.3
19391008     1.3
19391009     1.3
19391010    -2.3
19391011    -1.3
19391012     3.4
19391013     5.5
19391014     5.1
19391015    10.6
19391016     2.8
19391017     2.9
19391018    -0.1
19391019     0.5
19391020     2.8
19391021     3.4
19391022    13.0
19391023    10.9
19391024     9.1
19391025    10.0
19391026     5.3
19391027     3.1
19391028     9.8
19391029     3.1
19391030     3.1
19391031     5.5
19391101    12.6
19391102    10.3
19391103    15.0
19391104    12.9
19391105     7.5
19391106     3.0
19391107     1.6
19391108    -1.5
19391109    -1.5
19391110     5.4
19391111     8.6
19391112     8.0
19391113    10.5
19391114    10.5
19391115     7.5
19391116    10.5
19391117     9.6
19391118     7.6
19391119    12.8
19391120     8.6
19391121    10.5
19391122     9.3
19391123    10.6
19391124     9.5
19391125     5.7
19391126     8.1
19391127    12.8
19391128     7.6
19391129     3.4
19391130     7.5
19391201     4.5
19391202    -0.2
19391203     2.5
19391204     9.6
19391205     8.7
19391206     4.6
19391207     9.3
19391208     5.3
19391209     9.3
19391210     3.0
19391211     4.5
19391212     8.2
19391213    13.6
19391214    10.1
19391215    11.0
19391216     7.6
19391217     8.5
19391218    11.6
19391219    17.5
19391220     8.6
19391221     7.6
19391222    10.5
19391223     9.1
19391224     2.6
19391225    13.6
19391226    12.8
19391227    14.0
19391228    13.2
19391229    12.1
19391230    18.1
19391231    12.6
19400101    10.3
19400102    13.4
19400103    10.3
19400104    14.0
19400105    15.7
19400106    23.3
19400107    13.4
19400108     8.7
19400109    10.3
19400110     9.2
19400111    13.8
19400112    11.6
19400113    10.3
19400114     7.2
19400115    18.2
19400116    16.7
19400117    18.2
19400118    17.7
19400119    13.9
19400120    13.9
19400121     9.2
19400122     7.5
19400123     8.5
19400124    14.5
19400125    17.5
19400126    20.4
19400127    10.3
19400128    16.4
19400129    20.9
19400130     8.8
19400131     8.8
19400201    15.2
19400202    11.7
19400203     9.9
19400204     9.0
19400205    10.2
19400206     6.0
19400207    11.3
19400208    10.8
19400209    10.8
19400210    15.6
19400211    11.7
19400212    12.5
19400213     9.9
19400214    15.0
19400215    13.4
19400216    17.6
19400217    19.4
19400218    14.6
19400219    17.1
19400220    15.6
19400221    17.6
19400222    24.4
19400223    12.8
19400224     5.0
19400225     8.4
19400226     8.7
19400227    18.0
19400228    12.9
19400229     9.3
19400301     1.0
19400302     0.2
19400303     3.0
19400304     9.1
19400305     8.2
19400306    12.7
19400307    11.8
19400308    10.0
19400309    12.1
